mercader camino regreso atravesar
flaca sino deber preparar
forma quitar él letra
ojo sabiendo ir llegar
camo todavía escuchar música
tornar gris abultado escamós
definitivo enfrentarir líder cada
cueva calma recoger ciento
dedo salir agua poner
decir buen rey midas
lento torpón impedir siquiera
aquel ratoncillo valiente alegre
junto mamá ser vomitar
pensar madura jugoso fruta
calle echar él brazo
clase nombre don pepo
así encontrar digno sucesor
cuerpo llegar piel zepo
embargo mosquito jactancioso conocer
boca gente admirar bello
tener cohete disparar él
burro encontrar piel león
poder hablar decir liebre
noche princés cansado presencia
minotauro laberinto monstruo único
servir fuerza responder superforzudo
parecer abandonado nadie leer
cruzar isla volcán finalmente
pensar poder ganar él
hacer él mano quedar
proponer tratar si dar
ocho pata flaca sino
niño poder llevar amigo
ver atrapado medio desmedido
nadie tomar serio vez
uno piedra grande alto
dar importancia problema propio
desconsolado alegría transformado preocupación
criatura insignificante necesita recuperar
insistir acompañar él hospital
escritor muerto miedo solo
hacer creer usted tanto
dejado ficha aquel feroz
experto juego saber atrapar
burlar él hormiga decir
hoy solo podrás comer
mismo niño enseñar poner
crecido pequelibro ninguno interés
aquel convertir mejor día
guardián dragón duda ninguno
cueva preguntar cortésmente león
día muchísimo seguir vera
perdido dirigir impresionante rayo
cesar luz pompar inundar
decir tanto bonito si
decidir necesitar primero proteger
pasar mitad ese gran
hijo don importante vean
esperar pronto cambiar tiempo
nadie importar si virus
fallecer hija cumplir último
humilde casa convertido mansión
salgar aquí seguir nadar
día siguiente gepeto enviar
esclavo esperar peor trato
aplastar dejar él adolorido
trampa malvado zombi reír
paco salvar largo pelo
resolver dilema primero cruzar
cosa ocurrir añadir ruleta
ganar gran diferencia mientras
topó racimo uva grande
riesgo entrar jardín bruja
barba flamenco pensado tratar
brujo ver cosa distinto
moraleja dej vanidad alejir
mañana siguiente visitar escuela
mamá compartir corazón sorpresa
favor distraiga llegar escuela
aguerrido gigante irlanda vivir
alegr contento incluso malhumorado
día anterior aplauso ovación
llegar zacaría seguir regresar
anansi llegar plaza mercado
nadie alcanzar tapar agujero
él preguntar hacer creer
vez venir mamá enfermedad
capital mundial pillapilla famoso
aquel árbol tener mejor
enfadado noche unir castigar
electricidad tomar pequeño farolillo
inmenso tatuaje lleno mil
campo piel poder disfrazarme
famoso barco tom cabeza
encantado ofrecer traer zanahoria
proteger piel sol solo
aquel niño triste dispuesto
sabio adaptar él circunstancia
luciérnagar abrir a él
saludar cortésmente decir favor
mientras burro dormir llevar
día ramón querer robar
alegre siempre rodeado buen
asemejar dedo gordo peludo
vecino dar luz dos
tanto cubierto moretón mancha
día inventar tragar grito
flor regalo muestra cariño
bien nadie enterar día
listo ir gritar sapo
leyenda época gran calor
claudio cabezar mil idea
granjar hacer pedido diez
don impartir él persona
cansada pretendient falso acercar
solo pensar vender mercancía
ser rey buen escucha
reina vivir feliz anhelar
comenzar mostrar él dibujo
oscuro si ser buen
jugar querer acostar haberlo
cantar rato criatura mágico
dios dionisio agradecido decir
fastidiar él mutuamente cada
olla tocar puerta tortuga
jardín sentar banco llorar
rodar coco mitad camino
llorar mantener tranquilo tigre
cerdito menor dormir tranquilamente
oso vivir lindo casita
huevo luciérnagar lugar duda
real cada papá rey
conseguido nadie dar cuenta
él ninguno foto familio
llegar tarde importante reunión
celular esculcar bolsillo abrigo
oro piedra precioso luz
enorme trozo mantequillar fácil
señora comadrejo mucho gracia
juzgar diez moneda oro
envidia aquel felicidad continuo
poder ser objeto burla
morir curiosidad saber pasar
llegar solo quedar poco
actuar ver enfado sino
tal forma todo parte
rosado frondosa rama lucir
aparecer cuento princesa jamás
avén grande mediana pequeño
par grumet tanto igual
alcalde concejal poblador cambiado
contener pequeño cohete papel
severidad grit lobo ninguno
tiempo perder comenzar morder
marchar allí tardar encontrar
mamá patar polluelo animal
pepe grillo mostrar camino
aguantar gritar llorar mantener
página descubrir aquel solo
